,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
696,public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,2021-06-22,,ELEC,Public,170729,,,E,Wooldridge Creek,800-663-5633,2021-06-22T00:22:51Z,,GPS,42.3057928,-123.2012665,Grants Pass,,,OR,818 Slagle Creek Road,97527,US,,,,,,,,,,,['J1772'],,,2.0,SemaCharge Network,https://semaconnect.com/,,$1.25/Hr Parking Fee,,,,,,,,,,,,,,,,Public,,"{'station': ['5052'], 'posts': ['11501', '11502']}",
697,public,24 hours daily,,,2021-06-22,,ELEC,Public,170922,,,E,Electric Ave,855-900-7584,2021-06-22T01:27:16Z,,200-9,45.515862,-122.675005,Portland,,,OR,121 SW Salmon St,97204,US,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",4.0,,2.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['608'], 'posts': ['43150', '43151', '43152', '43153', '52871*1', '52871*2']}",
698,public,24 hours daily,,,2021-06-22,,ELEC,Public,170955,,,E,RIVERHOUSE 1 RIVERHOUSE EV,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.08,-121.3054,Bend,,,OR,3065 N Hwy 97,97701,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5581451'], 'posts': ['9224971', '9224981']}",
699,public,24 hours daily,,,2021-06-22,,ELEC,Public,171262,,,E,LEVEL 1 GARAGE CAR CHARGER 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.519058,-122.653366,Portland,,,OR,1313 East Burnside,97214,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2089001'], 'posts': ['2488411', '2488421']}",
700,public,24 hours daily,,,2021-06-22,,ELEC,Public,171345,,,E,ENTERPRISE ELEC STATION 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.41896,-117.276739,Enterprise,,,OR,803 S River St,97828,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5567021'], 'posts': ['9207591', '9207601']}",
701,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,171416,,,E,Mountain Mike's Pizza,888-998-2546,2021-06-21T22:55:12Z,,GPS,43.21415,-123.356965,Roseburg,,,OR,722 W Harvard Ave,97471,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['542931'], 'posts': ['440927', '529126']}",
702,public,24 hours daily,,,2021-06-22,,ELEC,Public,171456,,,E,SANTACLARA 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.101846,-123.129867,Eugene,,,OR,2585 River Rd,97404,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5609121'], 'posts': ['9260881']}",
703,public,24 hours daily,,,2021-06-22,,ELEC,Public,171478,,,E,CENTRAL LINCOLN SOC WEST,888-758-4389,2021-06-22T00:42:47Z,,GPS,43.975353,-124.102108,Florence,,,OR,966 Oregon Coast Hwy,97439,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5613161'], 'posts': ['9266141']}",
704,public,24 hours daily,,,2021-06-22,,ELEC,Public,171604,,,E,HILLSBORO OR MAIN ST 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522609,-122.988779,Hillsboro,,,OR,150 E Main St,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL199173'], 'posts': ['269051', '269053']}",
705,public,24 hours daily,,,2021-06-22,,ELEC,Public,171605,,,E,HILLSBORO OR 150 E MAIN 03,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522045,-122.989243,Hillsboro,,,OR,150 E Main St,97123,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1246'], 'posts': ['50743', '50745']}",
706,public,24 hours daily,,,2021-06-22,,ELEC,Public,171610,,,E,HILLSBORO OR EV-7,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520572,-122.977404,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437221'], 'posts': ['9042771', '9042781']}",
707,public,24 hours daily,,,2021-06-22,,ELEC,Public,171611,,,E,HILLSBORO OR EV-12,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520366,-122.977895,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437051'], 'posts': ['9042581', '9042591']}",
708,public,24 hours daily,,,2021-06-22,,ELEC,Public,171612,,,E,HILLSBORO OR EV-11,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520263,-122.977802,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437041'], 'posts': ['9042561', '9042571']}",
709,public,24 hours daily,,,2021-06-22,,ELEC,Public,171613,,,E,HILLSBORO OR EV-6,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520581,-122.977408,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437031'], 'posts': ['9042541', '9042551']}",
710,public,24 hours daily,,,2021-06-22,,ELEC,Public,171614,,,E,HILLSBORO OR EV-13,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520246,-122.977875,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437021'], 'posts': ['9042521', '9042531']}",
711,public,24 hours daily,,,2021-06-22,,ELEC,Public,171615,,,E,HILLSBORO OR EV-10,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520578,-122.977431,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5437011'], 'posts': ['9042501', '9042511']}",
712,public,24 hours daily,,,2021-06-22,,ELEC,Public,171616,,,E,HILLSBORO OR EV-9,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520369,-122.977767,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5079061'], 'posts': ['8396851', '8396861']}",
713,public,24 hours daily,,,2021-06-22,,ELEC,Public,171617,,,E,HILLSBORO OR ITF #5,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.521503,-122.976585,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL3481481'], 'posts': ['5220591', '5220601']}",
714,public,24 hours daily,,,2021-06-22,,ELEC,Public,171618,,,E,HILLSBORO OR ITF #3,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520462,-122.97761,Hillsboro,,,OR,253 SE 8th Ave,97123,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL3481081'], 'posts': ['5219811', '5219821']}",
715,public,24 hours daily,,,2021-06-22,,ELEC,Public,171720,,,E,MATISSE         MATISSE 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.494045,-122.671471,Portland,,,OR,0677 SW Lowell St,97239,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2425'], 'posts': ['53245', '53247']}",
716,public,24 hours daily,,,2021-06-22,,ELEC,Public,171722,,,E,US BANCORP 5TH AVE GARAGE2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522242,-122.675909,Portland,,,OR,111 SW 5th Ave,97204,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL96023'], 'posts': ['109547', '109549']}",
717,public,24 hours daily,,,2021-06-22,,ELEC,Public,171817,,,E,UOP CHARGE LIBRARY 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.573067,-122.726775,Portland,,,OR,N Mocks Landing Rd,97203,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL90763'], 'posts': ['100083', '100085']}",
718,public,24 hours daily,,,2021-06-22,,ELEC,Public,171887,,,E,GS INDIGO LLC STATION 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.522389,-122.684126,Portland,,,OR,430 SW 13th Ave,97205,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL182321'], 'posts': ['245547', '245549']}",
719,public,24 hours daily,,,2021-06-22,,ELEC,Public,171989,,,E,OSH OSH2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.938573,-123.005924,Salem,,,OR,Bobolink Way,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL148707'], 'posts': ['197915', '197917']}",
720,public,24 hours daily,,,2021-06-22,,ELEC,Public,171990,,,E,OSH OSH 4,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.938634,-123.005815,Salem,,,OR,Bobolink Way,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL147797'], 'posts': ['196703', '196705']}",
721,public,24 hours daily,,,2021-06-22,,ELEC,Public,171991,,,E,OSH OSH 3,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.938603,-123.005869,Salem,,,OR,Bobolink Way,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL147629'], 'posts': ['196489', '196491']}",
722,public,24 hours daily,,,2021-06-22,,ELEC,Public,172057,,,E,CHARGEPOINT BW PORT 2A PORT 2B,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.593972,-122.680992,Portland,,,OR,1215 N Hayden Meadows Dr.,97217,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL162743'], 'posts': ['217487', '217489']}",
723,public,24 hours daily,,,2021-06-22,,ELEC,Public,172060,,,E,MEDFORD BMW STATION 01,888-758-4389,2021-06-22T00:42:47Z,,GPS,42.381273,-122.857196,Medford,,,OR,4600 Grumman Dr,97504,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL103361'], 'posts': ['122515', '122517']}",
724,public,24 hours daily,,,2021-06-22,,ELEC,Public,172062,,,E,PARK AVENUE STATION 4,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.519462,-122.680845,Portland,,,OR,820 SW Morrison St,97205,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL197431'], 'posts': ['266335', '266337']}",
725,public,24 hours daily,,,2021-06-22,,ELEC,Public,172063,,,E,PARK AVENUE STATION 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.519447,-122.680796,Portland,,,OR,727-789 SW Park Ave,97205,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL196537'], 'posts': ['265367', '265369']}",
726,public,24 hours daily,,,2021-06-22,,ELEC,Public,172233,,,E,HASSALO GARAGE ASTER TOWER #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.530613,-122.656715,Portland,,,OR,1061 NE 9th Ave,97232,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123775'], 'posts': ['161075', '161077']}",
727,public,24 hours daily,,,2021-06-22,,ELEC,Public,172422,,,E,HIGHLANDCHEVRON WOODBURN EV 3-4,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.150898,-122.87834,Woodburn,,,OR,993 Lawson Ave,97071,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123873'], 'posts': ['161269', '161271']}",
728,public,24 hours daily,,,2021-06-22,,ELEC,Public,172567,,,E,LINCOLN CITY TAFT ARCH LOT 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.928379,-124.015831,Lincoln City,,,OR,1226 SW 50th St,97367,US,,,,,,,,,,,"['J1772', 'NEMA515']",,1.0,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL781'], 'posts': ['50243', '50245']}",
729,public,24 hours daily,,,2021-06-22,,ELEC,Public,172651,,,E,HASSALO GARAGE LLOYD 700 #2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.530915,-122.658197,Portland,,,OR,1107 NE 9th Ave,97232,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123789'], 'posts': ['161101', '161103']}",
730,public,24 hours daily,,,2021-06-22,,ELEC,Public,172652,,,E,HASSALO GARAGE LLOYD 700 #1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.531173,-122.656725,Portland,,,OR,1107 NE 9th Ave,97232,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123759'], 'posts': ['356251', '356261']}",
731,public,24 hours daily,,,2021-06-22,,ELEC,Public,172990,,,E,LBCC  LBCC DUAL 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.586126,-123.115473,Albany,,,OR,Ellingson Rd SW,97321,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL214305'], 'posts': ['291185', '291187']}",
732,public,24 hours daily,,,2021-06-22,,ELEC,Public,172991,,,E,LBCC  LBCC DUAL 3,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.586123,-123.11532,Albany,,,OR,Ellingson Rd SW,97321,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL199167'], 'posts': ['269041', '269043']}",
733,public,24 hours daily,,,2021-06-22,,ELEC,Public,173115,,,E,SOU SOU LOT 1 WEST,888-758-4389,2021-06-22T00:42:47Z,,GPS,42.187588,-122.691912,Ashland,,,OR,1554 Webster St,97520,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL197853'], 'posts': ['267127', '267129']}",
734,public,24 hours daily,,,2021-06-22,,ELEC,Public,173581,,,E,GRESHAM HONDA SHOP01,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.519984,-122.406355,Troutdale,,,OR,24999 SE Stark St,97060,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL684771'], 'posts': ['913791']}",
735,public,24 hours daily,,,2021-06-22,,ELEC,Public,173614,,,E,SIMON WOODBURNOUTLET2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.158147,-122.876674,Woodburn,,,OR,1001 N Arney Rd,97071,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL729161'], 'posts': ['968081']}",
736,public,24 hours daily,,,2021-06-22,,ELEC,Public,174368,,,E,DEER ISLAND CRPUD LEVEL 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.924725,-122.836774,Deer Island,,,OR,64001 Columbia River Hwy,97054,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1874541'], 'posts': ['2207651', '2207661']}",
737,public,24 hours daily,,,2021-06-22,,ELEC,Public,174369,,,E,DEER ISLAND CRPUD DC FASTCH,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.924776,-122.83682,Deer Island,,,OR,64001 Columbia River Hwy,97054,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1874111'], 'posts': ['2207121']}",
738,public,24 hours daily,,,2021-06-22,,ELEC,Public,174496,,,E,RTEC EV COCC STATION 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.254288,-121.166157,Redmond,,,OR,2324 SE College Loop,97756,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1882921'], 'posts': ['2219431', '2219441']}",
739,public,24 hours daily,,,2021-06-22,,ELEC,Public,174511,,,E,DAS OREGON AIRPORT RD 8,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925934,-123.00237,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL467661'], 'posts': ['633241', '633251']}",
740,public,24 hours daily,,,2021-06-22,,ELEC,Public,174512,,,E,DAS OREGON AIRPORT RD 3,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925888,-123.00255,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL466761'], 'posts': ['631591', '631601']}",
741,public,24 hours daily,,,2021-06-22,,ELEC,Public,174513,,,E,DAS OREGON AIRPORT RD 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925896,-123.002754,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL466701'], 'posts': ['631491', '631501']}",
742,public,24 hours daily,,,2021-06-22,,ELEC,Public,174514,,,E,DAS OREGON AIRPORT RD 7,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925858,-123.00236,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL466671'], 'posts': ['631431', '631441']}",
743,public,24 hours daily,,,2021-06-22,,ELEC,Public,174515,,,E,DAS OREGON AIRPORT RD 4,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925926,-123.00286,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL466341'], 'posts': ['630861', '630871']}",
744,public,24 hours daily,,,2021-06-22,,ELEC,Public,174516,,,E,DAS OREGON AIRPORT RD 6,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.92569,-123.00229,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL465531'], 'posts': ['629311', '629321']}",
745,public,24 hours daily,,,2021-06-22,,ELEC,Public,174517,,,E,DAS OREGON AIRPORT RD 9,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.925972,-123.00271,Salem,,,OR,350 Airport Rd SE,97301,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL458781'], 'posts': ['621341', '621351']}",
746,public,24 hours daily,,,2021-06-22,,ELEC,Public,174565,,,E,INDPNDNCE HOTEL STATION 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.851483,-123.182448,Independence,,,OR,201 Osprey Ln.,97351,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1829131'], 'posts': ['2148691', '2148701']}",
747,public,24 hours daily,,,2021-06-22,,ELEC,Public,174771,,,E,PGE BURGERVILLEL2#1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.496996,-122.567596,Portland,,,OR,3504 SE 92nd Ave,97266,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2023581'], 'posts': ['2401251']}",
748,public,24 hours daily,,,2021-06-22,,ELEC,Public,174778,,,E,PACIFIC POWER STATION 4,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.632043,-121.130994,Madras,,,OR,274 SW 4th St,97741,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2028051'], 'posts': ['2407211']}",
749,public,24 hours daily,,,2021-06-22,,ELEC,Public,174779,,,E,PACIFIC POWER STATION 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.632045,-121.13107,Madras,,,OR,274 SW 4th St,97741,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2028021'], 'posts': ['2407201']}",
750,public,24 hours daily,,,2021-06-22,,ELEC,Public,174780,,,E,PACIFIC POWER STATION 5,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.632041,-121.131094,Madras,,,OR,274 SW 4th St,97741,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2028001'], 'posts': ['2407181']}",
751,public,24 hours daily,,,2021-06-22,,ELEC,Public,174781,,,E,PACIFIC POWER STATION 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.632041,-121.131139,Madras,,,OR,274 SW 4th St,97741,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2025101'], 'posts': ['2403201', '2403211']}",
752,public,24 hours daily,,,2021-06-22,,ELEC,Public,175245,,,E,PACIFIC POWER BEND DCFC 3,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.060972,-121.313351,Bend,,,OR,70 NW Newport Ave,97703,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2104561'], 'posts': ['2509601']}",
753,public,24 hours daily,,,2021-06-22,,ELEC,Public,175246,,,E,PACIFIC POWER BEND DCFC 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.060992,-121.313351,Bend,,,OR,70 NW Newport Ave,97703,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2104541'], 'posts': ['2509581']}",
754,public,24 hours daily,,,2021-06-22,,ELEC,Public,175247,,,E,PACIFIC POWER BEND LEVEL 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.061019,-121.313271,Bend,,,OR,70 NW Newport Ave,97703,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2104531'], 'posts': ['2509561', '2509571']}",
755,public,24 hours daily,,,2021-06-22,,ELEC,Public,175248,,,E,PACIFIC POWER BEND DCFC 1,888-758-4389,2021-06-22T00:42:47Z,,GPS,44.061048,-121.313306,Bend,,,OR,70 NW Newport Ave,97703,US,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1837711'], 'posts': ['2159571']}",
756,public,24 hours daily,,,2021-06-22,,ELEC,Public,175527,,,E,NICHOLS LANDING HAMPTON INN 2,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.71087,-121.509224,Hood River,,,OR,1 Nichols Pkwy,97031,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2273961'], 'posts': ['2823681', '2823691']}",
